PDT000355594.1|SAMN09741056||Escherichia albertii||PNUSAE015686|Pathogen: clinical or host-associated	SRR7620704
PDT000102217.1|SAMD00026643|GCA_001514645.1|Escherichia albertii||NIAH_Bird_13|MIGS Cultured Bacterial/Archaeal	
PDT000102231.1|SAMD00026634|GCA_001514925.1|Escherichia albertii||EC05-160|MIGS Cultured Bacterial/Archaeal	
PDT000106119.1|SAMD00026637|GCA_001549955.1|Escherichia albertii||EC06-170|MIGS Cultured Bacterial/Archaeal	
PDT000102216.1|SAMD00026627|GCA_001514625.1|Escherichia albertii||94389|MIGS Cultured Bacterial/Archaeal	
PDT000102238.1|SAMD00026642|GCA_001515065.1|Escherichia albertii||KU20110014|MIGS Cultured Bacterial/Archaeal	
PDT000287367.2|SAMN05607339||Escherichia coli||MOD1-EC1731|Pathogen: clinical or host-associated	SRR6728027
PDT000291295.1|SAMN05607337|GCA_002965635.1|Escherichia albertii||MOD1-EC1733|Pathogen: clinical or host-associated	
PDT000291297.1|SAMN05607338|GCA_002965685.1|Escherichia albertii||MOD1-EC1732|Pathogen: clinical or host-associated	
PDT000137882.2|SAMEA1904987||Escherichia coli|||Generic	ERR277062
PDT000024641.1|SAMN02687529|GCA_000601195.1|Escherichia coli 1-176-05_S3_C2||1-176-05_S3_C2|Generic	
PDT000205451.1|SAMN06392855|GCA_002110245.1|Escherichia coli H605||H605|Microbe	
PDT000318987.1|SAMN06641860|GCA_003145355.1|Escherichia coli||Sum2013_WWKa_OUT_3|Microbe	
PDT000107696.1|SAMEA2518388||Escherichia coli||C887_12|Generic	ERR499316
PDT000343597.1|SAMN09468983||Escherichia coli||PSU-0754|Pathogen: environmental/food/other	SRR7499266
PDT000322990.1|SAMN09298343||Escherichia albertii|Escherichia albertii|385522|Pathogen: environmental/food/other	SRR7251019
PDT000238221.2|SAMN06006292||Escherichia coli|VT+ E. coli NOT isolated (VT PCR:- culture:-)|170304|Pathogen: clinical or host-associated	SRR5006333
PDT000017821.2|SAMN01885880|GCA_000459855.1|Escherichia coli KOEGE 71 (186a)||KOEGE 71 (186a)|Pathogen: clinical or host-associated	
PDT000015168.2|SAMN00847669|GCA_000398885.1|Escherichia coli KTE33||KTE33|Generic	
PDT000132146.2|SAMN05170956||Escherichia coli|O10|155580|Pathogen: clinical or host-associated	SRR3578956
PDT000310639.2|SAMN08978131||Escherichia coli||PSU-0678|Pathogen: environmental/food/other	SRR7085315
PDT000161556.2|SAMN06030722||Escherichia coli|Escherichia coli|209701|Pathogen: environmental/food/other	SRR5030826
PDT000161562.2|SAMN06030729||Escherichia coli|Escherichia coli|150966|Pathogen: clinical or host-associated	SRR5030872
PDT000354949.1|SAMN09725133||Escherichia coli||PSU-0848|Pathogen: environmental/food/other	SRR7613734
PDT000129808.2|SAMEA3529323||Escherichia coli|O103:H56||Generic	ERR1010238
PDT000354873.1|SAMN09725131||Escherichia coli||PSU-0839|Pathogen: environmental/food/other	SRR7613583
PDT000372048.1|SAMN09954456||Escherichia coli||PSU-0866|Pathogen: environmental/food/other	SRR7786730
PDT000354871.1|SAMN09726408||Escherichia coli||PSU-0852|Pathogen: environmental/food/other	SRR7613581
PDT000362470.1|SAMEA4811156|GCA_900499915.1|Escherichia coli|||Generic	
PDT000167711.2|SAMEA3697250||Escherichia coli|||Generic	ERR1163328
PDT000167689.2|SAMEA3697190||Escherichia coli|||Generic	ERR1163305
PDT000310626.2|SAMN08978133||Escherichia coli||PSU-0676|Pathogen: environmental/food/other	SRR7085292
PDT000063366.2|SAMN03570439||Escherichia coli||SN2N-1|Pathogen: clinical or host-associated	SRR2000282
PDT000354906.1|SAMN09725126||Escherichia coli||PSU-0845|Pathogen: environmental/food/other	SRR7613635
PDT000161970.2|SAMN06040033||Escherichia coli|Escherichia coli|195741|Pathogen: environmental/food/other	SRR5034985
PDT000324093.1|SAMN09371839||Escherichia coli|Escherichia coli|311967|Pathogen: environmental/food/other	SRR7265954
PDT000162002.2|SAMN06040332||Escherichia coli|Escherichia coli|195605|Pathogen: environmental/food/other	SRR5035023
PDT000066126.2|SAMN03744014||Escherichia fergusonii||75-1485|Pathogen: clinical or host-associated	SRR2040166
PDT000052585.2|SAMN03389646|GCA_000968895.2|Escherichia fergusonii||GTA-EF03|Microbe	
PDT000291290.1|SAMN05464487|GCA_002965935.1|Escherichia fergusonii||MOD1-EC5837|Pathogen: clinical or host-associated	
PDT000065741.2|SAMN03734431||Escherichia fergusonii||ATCC 35470|Pathogen: clinical or host-associated	SRR2039653
PDT000290002.1|SAMN08534257|GCA_002951495.1|Escherichia fergusonii||YH17130|Microbe	
PDT000329030.1|SAMN09267240||Escherichia coli||NC_CF252|Pathogen: environmental/food/other	SRR7299301
PDT000290003.1|SAMN08534259|GCA_002951525.1|Escherichia fergusonii||YH17132|Microbe	
PDT000088302.2|SAMEA3268857||Escherichia fergusonii||2011-70-219-5|Generic	ERR769194
PDT000088299.2|SAMEA3268854||Escherichia fergusonii||2011-70-218-2|Generic	ERR769191
PDT000328662.1|SAMN09267221||Escherichia coli||NC_CF202|Pathogen: environmental/food/other	SRR7297675
PDT000328701.1|SAMN09267231||Escherichia coli||NC_CF242|Pathogen: environmental/food/other	SRR7299272
PDT000373300.1|SAMN09986739||Escherichia coli O157:H7||CFSAN082788|Pathogen: clinical or host-associated	SRR7799232
PDT000010190.2|SAMN02470542|GCA_000191665.1|Escherichia fergusonii ECD227||ECD227|Generic	
PDT000291289.1|SAMN05464554|GCA_002965025.1|Escherichia fergusonii||MOD1-EC6349|Pathogen: environmental/food/other	
PDT000212669.2|SAMN07159037||Escherichia fergusonii||89-2460|Pathogen: clinical or host-associated	SRR5590335
PDT000066123.2|SAMN03744123||Escherichia fergusonii||ATCC 35473|Pathogen: clinical or host-associated	SRR2040143
PDT000052586.2|SAMN03400083|GCA_000968905.2|Escherichia fergusonii||GTA-EF02|Microbe	
PDT000052584.2|SAMN03400068|GCA_000968885.2|Escherichia fergusonii||GTA-EF04|Microbe	
PDT000008596.2|SAMN02596695|GCA_000190495.1|Escherichia fergusonii B253||B253|Generic	
PDT000253348.2|SAMN07808845||Escherichia coli||74-2388|Pathogen: clinical or host-associated	SRR6186591
PDT000066121.2|SAMN03734432||Escherichia fergusonii||ATCC 35471|Pathogen: clinical or host-associated	SRR2039654
PDT000066127.2|SAMN03744015||Escherichia fergusonii||77-0488|Pathogen: clinical or host-associated	SRR2040173
PDT000066124.2|SAMN03744012||Escherichia fergusonii||2010C-3888|Pathogen: clinical or host-associated	SRR2040144
PDT000066125.2|SAMN03744013||Escherichia fergusonii||2010C-3896|Pathogen: clinical or host-associated	SRR2040145
PDT000005193.2|SAMEA3138228|GCA_000026225.1|Escherichia fergusonii ATCC 35469||ATCC 35469T|Generic	
PDT000271613.2|SAMN08172571||Escherichia fergusonii||2011C-4212|Pathogen: clinical or host-associated	SRR6373706
PDT000271624.2|SAMN08172570||Escherichia fergusonii||2011C-4215|Pathogen: clinical or host-associated	SRR6373719
PDT000029848.1|SAMN02680263|GCA_000687125.1|Escherichia coli 2-011-08_S1_C1||2-011-08_S1_C1|Generic	
PDT000125551.2|SAMN04588713||Escherichia coli|Undetermined:Undetermined|PNUSAE002636|Pathogen: clinical or host-associated	SRR3394828
PDT000140740.2|SAMN05374484||Escherichia coli|||Pathogen: clinical or host-associated	SRR3932419
PDT000353179.1|SAMN09703858||Escherichia coli||JWC-3276|Pathogen: environmental/food/other	SRR7551166
PDT000094202.2|SAMN04191560||Escherichia coli||KCJ1256|Pathogen: clinical or host-associated	SRR2914463
PDT000305500.2|SAMN08902762||Escherichia coli O25||PSU-0517|Pathogen: environmental/food/other	SRR6986358
PDT000128809.2|SAMEA3597780||Escherichia coli|||Generic	ERR1055856
PDT000283180.1|SAMN08380936|GCA_002901325.1|Escherichia coli||B8S18Com|Pathogen: environmental/food/other	
PDT000128793.2|SAMEA3597764||Escherichia coli|||Generic	ERR1055840
PDT000167695.2|SAMEA3697223||Escherichia coli|||Generic	ERR1163311
PDT000215766.2|SAMN06848989||Escherichia coli||NC_P17-17|Pathogen: environmental/food/other	SRR5646662
PDT000356786.1|SAMN09756541||Escherichia coli||FSIS11812235|Pathogen: environmental/food/other	SRR7635035
PDT000032338.1|SAMN02680254|GCA_000703725.1|Escherichia coli 2-156-04_S3_C2||2-156-04_S3_C2|Generic	
PDT000332841.1|SAMN09458214||Escherichia coli|Escherichia coli|478506|Pathogen: environmental/food/other	SRR7367476
PDT000221036.1|SAMEA1317759|GCA_002207125.1|Escherichia coli|ON16|1642|Generic	
PDT000129873.2|SAMEA3529367||Escherichia coli|O8:H24||Generic	ERR1010191
PDT000156606.2|SAMN05980304||Escherichia coli|Escherichia coli|293089|Pathogen: clinical or host-associated	SRR4897166
PDT000305220.2|SAMN08915391||Escherichia coli||PNUSAE012932|Pathogen: clinical or host-associated	SRR6983022
PDT000313390.2|SAMN09198389||Escherichia coli||PNUSAE013826|Pathogen: clinical or host-associated	SRR7155551
PDT000213243.2|SAMN07172354||Escherichia coli||2016C-3249|Pathogen: clinical or host-associated	SRR5616826
PDT000120879.2|SAMN04578535||Escherichia coli|E. coli O126:H27|2015C-3369|Pathogen: clinical or host-associated	SRR3290442
